Task description,concept,task category,task cluster,autonomy level,average score,job,notes,discussion,chosen,100
Drawing or painting something (making art),art,art,mundane,action,3,artist,,"art, creative",1,
Choreographing dance moves for a person to perform,art,art,conference,decision,3,choreographer,,"art, creative",1,
Analyzing and critiquing aesthetic qualities of photographs or other forms of art,art,art,conference,recommendation,3,art teacher,,"art, creative",1,
Picking a topic to write a short story about,writing,writing,mundane,decision,3,,,"art, creative",1,
Writing a blog post,writing,\,mundane,action,3,,,"art, creative",1,
Writing a novel or a short story (creative writing),writing,writing,jobs,action,3,Authors,,"art, creative",1,
Interviewing job applicants and rating candidates,hiring,business,media,decision,3,,,business,1,
Deciding which applicants to hire as new employees for an open position at work,"hiring, fairness",business,conference,decision,3,human resource manager,,business,1,
Recommending jobs for you to apply to,recommendation,business,conference,recommendation,3,career counselor,,business,1,
Establishing compensation/wage/salary level for an employee,,business,jobs,action,3,Human Resources Managers,,business,1,
Predicting the sale value of a real estate property,prediction,commerce,conference,decision,3,real estate agent,real estate agent,business,1,
Inferring damage for insurance purposes after a car accident,assessment ,commerce,conference,decision,3,insurance claims adjuster,similar to risk assessment,business,1,
"Detecting and removing fake/deceptive online reviews (e.g., for hotels or products)",filtering,commerce,conference,action,3,,,business,1,
Moving & packing merchandise in a warehouse for shipping to customers,manual labor,commerce,media,action,2.5,,,business,1,
Recommending other products you might be interested in while you're shopping ,recommendation,commerce,conference,recommendation,3,,,business,1,
Finding and rescuing survivors after earthquakes,machinery operation,construction,conference,action,3,construction worker,,civic,1,
Analyzing financial market conditions and executing market orders for a large company (e.g. buy/sell stocks),finance,finance,conference,action,3,financial analyst,,business,1,
Deciding which applicants receive a loan from a bank (loan assessment),"finance, fairness",finance,conference,decision,3,loan officer,,business,1,
"Monitoring farm animals’ (e.g., cows) behavior, predicting health issues, and alerting the farmer.",agriculture,health,media,monitoring,2,,,business,1,
"Analyzing and sorting legal documents for important information, e.g., to find legal precedents for arguing a case in court (similar to some of what a paralegal might do)",legal,jobs,media,decision,2.5,,,business,1,
"Coordinating and oversee construction of a building, e.g., consulting with engineers, surveyors, specialists, and construction workers -- similar to some of what an architect might do.",,jobs,jobs,action,3,Architects,,business,1,
"Taking photos of a planned event, such as a wedding or graduation, similar to what a professional photographer might do.",,jobs,art,action,3,photographer,,business,1,
Planning menus and developing recipes at a restaurant,,jobs,jobs,action,3,Head Cook,,business,1,
"Cutting, drying, and styling hair, similar to what a barber or hairstylist might do",,jobs,jobs,action,3,"Barber, Hairstylist",,business,1,
Assembling automobiles in a factory,manual labor,manufacturing,conference,action,2,factory worker,,business,1,
"Teaching your child elementary school math (e.g., multiplication, fractions)",teaching,personal responsibility,mundane,action,3,,,business,1,
Responding to emails at work,work,personal responsibility,mundane,action,,new,,business,1,
Serving food to customers at a restaurant,service,service,conference,action,2,server,,business,1,
Choosing and ordering food for you to eat for dinner,service,service,mundane,action,3,,,business,1,
Driving a passenger to their destination (similar to a taxi driver or chauffeur),driving,transportation,conference,action,3,taxi driver,,business,1,
Driving a truck delivering goods/cargo between cities,driving,transportation,conference,action,3,truck driver,,business,1,
Reviewing a book or a movie,editing,writing,mundane,recommendation,,editor,,"art, creative",1,
"Writing reports and publishing Olympic (or other sports) results, standings, and stats (sports news coverage)",writing,writing,media,action,3,,,business,1,
Writing reports and publishing updates on House/Senate/gubernatorial races during election day (election news coverage),writing,writing,media,action,3,,,business,1,
Designing new clothing to manufacture and sell (similar to what a fashion designer might do),art,art,conference,decision,3,fashion designer,,"business, creative",1,
Scheduling an important business meeting with several co-workers,business,business,mundane,action,3,secretary,,"business, mundane",1,
Arguing your case when you’re a defendant in a criminal court,arguing,civic responsibility,mundane,action,2.5,lawyer,,civic,1,
Voting in federal elections,civic responsibility,civic responsibility,mundane,action,3,,,civic,1,
Serving on jury duty: deciding if a defendant is innocent or guilty,civic responsibility,civic responsibility,mundane,decision,3,,,civic,1,
Identifying and flagging fake/deceptive news articles,filtering,information,conference,decision,3,,,civic,1,
Identifying and flagging online hate speech,,media,media,decision,3,,,civic,1,
"In court, determining a defendant’s risk (e.g., in committing another crime or missing the court date), to help judges make decisions about bail, sentencing, or parole",fairness,public works,media,recommendation,2.5,,,civic,1,
Detecting/recognizing abnormal or suspicious activities of people in crowds in public places for the purposes of security and safety (similar to part of what a police officer might do),"Security, policing",security,conference,decision ?,3,police officer,,civic,1,
Helping to locate a missing child by searching public spaces,surveillance,security,media,action,3,,,civic,1,
Identifying people who attended a political rally,surveillance,security,media,decision,2,,,civic,1,
"Responding to 911-police incident reports, similar to what a patrol officer might do",,security,jobs,action,3,Patrol Officer,,civic,1,
Guiding and explaining exhibits in a museum (similar to what a museum tour guide might do),service,service,conference,action,3,tour guide,,civic,1,
Analyzing and controlling the flow of traffic in a city,traffic,transportation,conference,action,3,,,civic,1,
"Teaching a religion's doctrine and practices to followers, similar to some of the responsibilities of clergy/religious leaders",,religion,jobs,action,3,Clergy,,civic,1,
Picking a movie to watch with a group of friends,decision,entertainment,mundane,decision,2,,,entertainment,1,
"Playing a boardgame (e.g., monopoly, scrabble)",games,entertainment,conference,action,2.5,,,entertainment,1,
"Playing a competitive game (e.g., dota2, starcraft, poker)",games,entertainment,media,action,2,,,entertainment,1,
Recommending movies for you to watch,recommendation,entertainment,conference,recommendation,3,,,entertainment,1,
Recommending songs for you to listen to,recommendation,entertainment,media,recommendation,3,,,entertainment,1,
